0, 9.990000e+02, 0.000000e+00, 9.375000e-01, 3.906250e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-01, 5.000000e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 3.906250e-02, 9.375000e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00
1, 9.990000e+02, 5.000000e-01, 9.375000e-01, 3.906250e-02, -1.102143e-03, -6.195840e-04, 2.743043e-03, 5.000000e-01, 5.000000e-01, -2.122807e-02, 1.084575e-03, -6.581994e-04, 3.906250e-02, 9.375000e-01, -4.655079e-02, 1.331914e-01, -3.126751e-02
2, 9.990000e+02, 1.000000e+00, 9.375000e-01, 3.906250e-02, -1.110042e-03, -6.606997e-04, 2.953099e-03, 5.000000e-01, 5.000000e-01, -2.909437e-02, 3.648167e-03, -1.898333e-04, 3.906250e-02, 9.375000e-01, -4.639964e-02, 1.339144e-01, -2.047584e-02
3, 9.990000e+02, 1.500000e+00, 9.375000e-01, 3.906250e-02, -1.114485e-03, -6.857685e-04, 4.195589e-03, 5.000000e-01, 5.000000e-01, -3.476627e-02, 7.399525e-03, 5.016217e-04, 3.906250e-02, 9.375000e-01, -4.696158e-02, 1.327119e-01, -1.735727e-02
4, 9.990000e+02, 2.000000e+00, 9.375000e-01, 3.906250e-02, -1.186809e-03, -7.429759e-04, 5.791631e-03, 5.000000e-01, 5.000000e-01, -4.055174e-02, 1.259147e-02, 1.200243e-03, 3.906250e-02, 9.375000e-01, -4.734182e-02, 1.319444e-01, -1.625264e-02
5, 9.990000e+02, 2.500000e+00, 9.375000e-01, 3.906250e-02, -1.277943e-03, -8.118697e-04, 7.336721e-03, 5.000000e-01, 5.000000e-01, -4.755610e-02, 1.944784e-02, 1.802909e-03, 3.906250e-02, 9.375000e-01, -4.756844e-02, 1.314658e-01, -1.573973e-02
6, 9.990000e+02, 3.000000e+00, 9.375000e-01, 3.906250e-02, -1.321058e-03, -8.566989e-04, 8.692588e-03, 5.000000e-01, 5.000000e-01, -5.627499e-02, 2.809005e-02, 2.220608e-03, 3.906250e-02, 9.375000e-01, -4.771205e-02, 1.311259e-01, -1.538600e-02
7, 9.990000e+02, 3.500000e+00, 9.375000e-01, 3.906250e-02, -1.271758e-03, -8.501637e-04, 9.842931e-03, 5.000000e-01, 5.000000e-01, -6.698236e-02, 3.868689e-02, 2.332951e-03, 3.906250e-02, 9.375000e-01, -4.781645e-02, 1.308439e-01, -1.505671e-02
8, 9.990000e+02, 4.000000e+00, 9.375000e-01, 3.906250e-02, -1.114760e-03, -7.794741e-04, 1.081029e-02, 5.000000e-01, 5.000000e-01, -7.999061e-02, 5.168834e-02, 1.978174e-03, 3.906250e-02, 9.375000e-01, -4.790665e-02, 1.305772e-01, -1.470391e-02
9, 9.990000e+02, 4.500000e+00, 9.375000e-01, 3.906250e-02, -8.610503e-04, -6.467367e-04, 1.163186e-02, 5.000000e-01, 5.000000e-01, -9.613778e-02, 6.907040e-02, 9.158418e-04, 3.906250e-02, 9.375000e-01, -4.799748e-02, 1.303020e-01, -1.430906e-02
10, 9.990000e+02, 5.000000e+00, 9.375000e-01, 3.906250e-02, -5.411275e-04, -4.666305e-04, 1.235097e-02, 5.000000e-01, 5.000000e-01, -1.156130e-01, 9.438436e-02, -1.278677e-03, 3.906250e-02, 9.375000e-01, -4.809832e-02, 1.300046e-01, -1.386594e-02
11, 9.990000e+02, 5.500000e+00, 9.375000e-01, 3.906250e-02, -1.945019e-04, -2.613132e-04, 1.301096e-02, 5.000000e-01, 5.000000e-01, -1.340580e-01, 1.250034e-01, -5.124021e-03, 3.906250e-02, 9.375000e-01, -4.821552e-02, 1.296767e-01, -1.337426e-02
12, 9.990000e+02, 6.000000e+00, 9.375000e-01, 3.906250e-02, 1.430802e-04, -5.316856e-05, 1.364931e-02, 5.000000e-01, 5.000000e-01, -1.454549e-01, 1.508251e-01, -1.068030e-02, 3.906250e-02, 9.375000e-01, -4.835378e-02, 1.293130e-01, -1.283676e-02
13, 9.990000e+02, 6.500000e+00, 9.375000e-01, 3.906250e-02, 4.505460e-04, 1.421730e-04, 1.429219e-02, 5.000000e-01, 5.000000e-01, -1.480995e-01, 1.648791e-01, -1.726361e-02, 3.906250e-02, 9.375000e-01, -4.851680e-02, 1.289100e-01, -1.225781e-02
14, 9.990000e+02, 7.000000e+00, 9.375000e-01, 3.906250e-02, 7.264398e-04, 3.201447e-04, 1.495160e-02, 5.000000e-01, 5.000000e-01, -1.440464e-01, 1.669438e-01, -2.388761e-02, 3.906250e-02, 9.375000e-01, -4.870743e-02, 1.284654e-01, -1.164252e-02
15, 9.990000e+02, 7.500000e+00, 9.375000e-01, 3.906250e-02, 9.851949e-04, 4.863482e-04, 1.562634e-02, 5.000000e-01, 5.000000e-01, -1.362753e-01, 1.603331e-01, -2.979624e-02, 3.906250e-02, 9.375000e-01, -4.892772e-02, 1.279783e-01, -1.099631e-02
16, 9.990000e+02, 8.000000e+00, 9.375000e-01, 3.906250e-02, 1.247819e-03, 6.517508e-04, 1.630651e-02, 5.000000e-01, 5.000000e-01, -1.271866e-01, 1.488851e-01, -3.464082e-02, 3.906250e-02, 9.375000e-01, -4.917899e-02, 1.274484e-01, -1.032493e-02
17, 9.990000e+02, 8.500000e+00, 9.375000e-01, 3.906250e-02, 1.532669e-03, 8.270943e-04, 1.697917e-02, 5.000000e-01, 5.000000e-01, -1.182605e-01, 1.356186e-01, -3.839358e-02, 3.906250e-02, 9.375000e-01, -4.946176e-02, 1.268765e-01, -9.634587e-03
18, 9.990000e+02, 9.000000e+00, 9.375000e-01, 3.906250e-02, 1.850166e-03, 1.019218e-03, 1.763304e-02, 5.000000e-01, 5.000000e-01, -1.102089e-01, 1.224471e-01, -4.119548e-02, 3.906250e-02, 9.375000e-01, -4.977598e-02, 1.262637e-01, -8.932102e-03
19, 9.990000e+02, 9.500000e+00, 9.375000e-01, 3.906250e-02, 2.201975e-03, 1.230012e-03, 1.826091e-02, 5.000000e-01, 5.000000e-01, -1.032465e-01, 1.103651e-01, -4.324034e-02, 3.906250e-02, 9.375000e-01, -5.012057e-02, 1.256128e-01, -8.224752e-03
20, 9.990000e+02, 1.000000e+01, 9.375000e-01, 3.906250e-02, 2.583157e-03, 1.457303e-03, 1.885989e-02, 5.000000e-01, 5.000000e-01, -9.732606e-02, 9.975733e-02, -4.471437e-02, 3.906250e-02, 9.375000e-01, -5.049414e-02, 1.249272e-01, -7.519835e-03
21, 9.990000e+02, 1.050000e+01, 9.375000e-01, 3.906250e-02, 2.985246e-03, 1.696549e-03, 1.943042e-02, 5.000000e-01, 5.000000e-01, -9.229227e-02, 9.066842e-02, -4.577264e-02, 3.906250e-02, 9.375000e-01, -5.089596e-02, 1.242087e-01, -6.824389e-03
22, 9.990000e+02, 1.100000e+01, 9.375000e-01, 3.906250e-02, 3.398936e-03, 1.942449e-03, 1.997481e-02, 5.000000e-01, 5.000000e-01, -8.796629e-02, 8.298090e-02, -4.653674e-02, 3.906250e-02, 9.375000e-01, -5.132512e-02, 1.234578e-01, -6.144869e-03
23, 9.990000e+02, 1.150000e+01, 9.375000e-01, 3.906250e-02, 3.815726e-03, 2.190021e-03, 2.049594e-02, 5.000000e-01, 5.000000e-01, -8.418798e-02, 7.651808e-02, -4.709898e-02, 3.906250e-02, 9.375000e-01, -5.177894e-02, 1.226763e-01, -5.486844e-03
24, 9.990000e+02, 1.200000e+01, 9.375000e-01, 3.906250e-02, 4.228625e-03, 2.435112e-03, 2.099636e-02, 5.000000e-01, 5.000000e-01, -8.081944e-02, 7.109388e-02, -4.752767e-02, 3.906250e-02, 9.375000e-01, -5.225170e-02, 1.218688e-01, -4.854630e-03
25, 9.990000e+02, 1.250000e+01, 9.375000e-01, 3.906250e-02, 4.632177e-03, 2.674481e-03, 2.147782e-02, 5.000000e-01, 5.000000e-01, -7.776396e-02, 6.652676e-02, -4.787279e-02, 3.906250e-02, 9.375000e-01, -5.273501e-02, 1.210443e-01, -4.251170e-03
26, 9.990000e+02, 1.300000e+01, 9.375000e-01, 3.906250e-02, 5.022214e-03, 2.905677e-03, 2.194127e-02, 5.000000e-01, 5.000000e-01, -7.494351e-02, 6.265380e-02, -4.816961e-02, 3.906250e-02, 9.375000e-01, -5.321764e-02, 1.202153e-01, -3.677996e-03
27, 9.990000e+02, 1.350000e+01, 9.375000e-01, 3.906250e-02, 5.395528e-03, 3.126854e-03, 2.238700e-02, 5.000000e-01, 5.000000e-01, -7.231600e-02, 5.933111e-02, -4.844196e-02, 3.906250e-02, 9.375000e-01, -5.368840e-02, 1.193964e-01, -3.135152e-03
28, 9.990000e+02, 1.400000e+01, 9.375000e-01, 3.906250e-02, 5.749654e-03, 3.336618e-03, 2.281484e-02, 5.000000e-01, 5.000000e-01, -6.986153e-02, 5.643062e-02, -4.870382e-02, 3.906250e-02, 9.375000e-01, -5.413781e-02, 1.186017e-01, -2.621624e-03
29, 9.990000e+02, 1.450000e+01, 9.375000e-01, 3.906250e-02, 6.082789e-03, 3.533957e-03, 2.322431e-02, 5.000000e-01, 5.000000e-01, -6.757054e-02, 5.384766e-02, -4.896185e-02, 3.906250e-02, 9.375000e-01, -5.455939e-02, 1.178421e-01, -2.135689e-03
30, 9.990000e+02, 1.500000e+01, 9.375000e-01, 3.906250e-02, 6.393792e-03, 3.718231e-03, 2.361482e-02, 5.000000e-01, 5.000000e-01, -6.545199e-02, 5.150094e-02, -4.921716e-02, 3.906250e-02, 9.375000e-01, -5.494975e-02, 1.171247e-01, -1.675318e-03
31, 9.990000e+02, 1.550000e+01, 9.375000e-01, 3.906250e-02, 6.682222e-03, 3.889182e-03, 2.398590e-02, 5.000000e-01, 5.000000e-01, -6.352535e-02, 4.933242e-02, -4.946674e-02, 3.906250e-02, 9.375000e-01, -5.530839e-02, 1.164526e-01, -1.238163e-03
32, 9.990000e+02, 1.600000e+01, 9.375000e-01, 3.906250e-02, 6.948332e-03, 4.046950e-03, 2.433708e-02, 5.000000e-01, 5.000000e-01, -6.180798e-02, 4.730550e-02, -4.970540e-02, 3.906250e-02, 9.375000e-01, -5.563675e-02, 1.158257e-01, -8.221931e-04
33, 9.990000e+02, 1.650000e+01, 9.375000e-01, 3.906250e-02, 7.192937e-03, 4.191988e-03, 2.466785e-02, 5.000000e-01, 5.000000e-01, -6.030952e-02, 4.540400e-02, -4.992744e-02, 3.906250e-02, 9.375000e-01, -5.593733e-02, 1.152422e-01, -4.260103e-04
34, 9.990000e+02, 1.700000e+01, 9.375000e-01, 3.906250e-02, 7.417310e-03, 4.325015e-03, 2.497770e-02, 5.000000e-01, 5.000000e-01, -5.903203e-02, 4.362952e-02, -5.012800e-02, 3.906250e-02, 9.375000e-01, -5.621291e-02, 1.146996e-01, -4.873420e-05
35, 9.990000e+02, 1.750000e+01, 9.375000e-01, 3.906250e-02, 7.622951e-03, 4.446908e-03, 2.526617e-02, 5.000000e-01, 5.000000e-01, -5.796898e-02, 4.199438e-02, -5.030377e-02, 3.906250e-02, 9.375000e-01, -5.646621e-02, 1.141949e-01, 3.098802e-04
